loss,ROC-AUC,PR-AUC,max_macro_f1,accuracy,model
0.00011377383634680882,0.9706032276153564,0.8732315301895142,0.7275785207748413,0.8145159482955933,STM_dropout_F1
0.035192228853702545,0.9715366959571838,0.8757140636444092,0.7334378957748413,0.8179969191551208,STM_dropout_AUC
0.0021031072828918695,0.9721890091896057,0.8816384077072144,0.7374460697174072,0.8227927088737488,STM_LN_F1
0.010260765440762043,0.9704932570457458,0.8734129071235657,0.726773738861084,0.8170226216316223,STM_LN_AUC
0.009287114255130291,0.9882627725601196,0.9517751336097717,0.8449140787124634,0.8962996006011963,YAM_dropout_F1
0.004395357333123684,0.9901984930038452,0.9607936143875122,0.8536199331283569,0.9034128785133362,YAM_dropout_AUC
3.905739376364181e-08,0.9888600707054138,0.9548888802528381,0.845586895942688,0.8983805775642395,YAM_LN_F1
5.182065433473326e-05,0.9893206357955933,0.9565963745117188,0.8500999212265015,0.9020034670829773,YAM_LN_AUC
0.0013363941106945276,0.9904252290725708,0.9618455767631531,0.8514953851699829,0.9032425880432129,VGG_dropout_F1
0.005458931438624859,0.9907970428466797,0.9636058807373047,0.8543778657913208,0.905030369758606,VGG_dropout_AUC
0.025034815073013306,0.9906924962997437,0.9630751609802246,0.8534824252128601,0.9035168886184692,VGG_LN_F1
0.017624272033572197,0.9898297190666199,0.9596489667892456,0.8471828699111938,0.8988156914710999,VGG_LN_AUC
0.030658114701509476,0.9374933242797852,0.7483391761779785,0.7334593534469604,0.690845251083374,STM_dropout_F1_ds
0.026492079719901085,0.9339038133621216,0.7336452007293701,0.7277544736862183,0.6888969540596008,STM_dropout_AUC_ds
0.00700032664462924,0.9369890093803406,0.7530567646026611,0.7396465539932251,0.6860280632972717,STM_LN_F1_ds
0.022880500182509422,0.9411495923995972,0.7704870700836182,0.7454715967178345,0.6970540285110474,STM_LN_AUC_ds
0.020858941599726677,0.9723721146583557,0.8932759165763855,0.8318284749984741,0.8074848055839539,YAM_dropout_F1_ds
0.03110899031162262,0.9720194339752197,0.892593264579773,0.8303564190864563,0.8070138096809387,YAM_dropout_AUC_ds
0.03545335680246353,0.9696941375732422,0.8818904161453247,0.8221378326416016,0.7980859875679016,YAM_LN_F1_ds
0.013518018648028374,0.9700508713722229,0.8831055760383606,0.8247582316398621,0.8010833263397217,YAM_LN_AUC_ds
0.014344475232064724,0.9727669954299927,0.8939831256866455,0.8356965184211731,0.8094972968101501,VGG_dropout_F1_ds
0.03393634408712387,0.9741889834403992,0.9004471898078918,0.8371458053588867,0.815213680267334,VGG_dropout_AUC_ds
0.04147621989250183,0.9731022119522095,0.8960549235343933,0.8331855535507202,0.8074420094490051,VGG_LN_F1_ds
0.01639358326792717,0.9766233563423157,0.9103149175643921,0.8396013379096985,0.8171619176864624,VGG_LN_AUC_ds
